subtarea,checkpoint,metodo,clase,N_bins,ECE_hard,MCE_hard,Brier_hard,ECE_soft,Brier_soft
2.1,M3_vista_E_best,crudo,GLOBAL,10,0.1084,0.2316,0.1397,0.0294,0.0481
2.1,M3_vista_E_best,temperature(T=1.149),GLOBAL,10,0.133,0.253,0.1451,0.019,0.0477
2.1,M3_vista_E_best,blend0.6/0.4Gemini,GLOBAL,10,0.0748,0.2869,0.1287,0.0858,0.0528
2.1,vista_e_task21_max512,crudo,GLOBAL,10,0.1062,0.2046,0.1342,0.0787,0.0541
2.1,vista_e_task21_max512,temperature(T=1.291),GLOBAL,10,0.1378,0.2077,0.1447,0.0567,0.0526
2.1,vista_e_task21_max512_R,crudo,GLOBAL,10,0.1219,0.1659,0.1349,0.0524,0.0486
2.1,vista_e_task21_max512_R,temperature(T=1.105),GLOBAL,10,0.1388,0.2079,0.1393,0.0445,0.0484
2.1,vista_e_task21_longformer,crudo,GLOBAL,10,0.0932,0.1856,0.1321,0.0421,0.0491
2.1,vista_e_task21_longformer,temperature(T=1.273),GLOBAL,10,0.1269,0.2182,0.1414,0.0261,0.0475
2.1,vista_e_task21_longformer_R,crudo,GLOBAL,10,0.0971,0.1741,0.1351,0.0418,0.0494
2.1,vista_e_task21_longformer_R,temperature(T=1.291),GLOBAL,10,0.1311,0.2153,0.1448,0.0264,0.0477
2.1,Gemini_zeroshot,crudo,GLOBAL,10,0.0814,0.55,0.1438,0.1996,0.0915
2.2,vista_e_task22_best,crudo,NO,10,0.0969,0.2373,0.1736,0.0243,0.0474
2.2,vista_e_task22_best,crudo,DIRECT,10,0.119,0.3619,0.1851,0.0751,0.0492
2.2,vista_e_task22_best,crudo,JUDGEMENTAL,10,0.1783,0.3845,0.1238,0.0874,0.0427
2.2,vista_e_task22_best,crudo,MACRO_OvR,10,0.1314,,,,
2.2,vista_e_task22_best,platt,NO,10,0.0412,0.1281,0.1604,0.1055,0.0613
2.2,vista_e_task22_best,platt,DIRECT,10,0.0524,0.1104,0.1628,0.0666,0.0478
2.2,vista_e_task22_best,platt,JUDGEMENTAL,10,0.0164,0.4362,0.0892,0.0949,0.0428
2.2,vista_e_task22_best,platt,MACRO_OvR,10,0.0367,,,,
2.2,vista_e_task22_max512,crudo,NO,10,0.1359,0.2669,0.1818,0.0537,0.0503
2.2,vista_e_task22_max512,crudo,DIRECT,10,0.1243,0.3953,0.1808,0.0587,0.0465
2.2,vista_e_task22_max512,crudo,JUDGEMENTAL,10,0.1985,0.3786,0.1321,0.1044,0.0469
2.2,vista_e_task22_max512,crudo,MACRO_OvR,10,0.1529,,,,
2.2,vista_e_task22_max512_R,crudo,NO,10,0.1173,0.3356,0.1809,0.0269,0.0478
2.2,vista_e_task22_max512_R,crudo,DIRECT,10,0.1169,0.479,0.1875,0.0614,0.0492
2.2,vista_e_task22_max512_R,crudo,JUDGEMENTAL,10,0.1816,0.2236,0.1242,0.0869,0.0422
2.2,vista_e_task22_max512_R,crudo,MACRO_OvR,10,0.1386,,,,
2.2,vista_e_task22_longformer,crudo,NO,10,0.1385,0.3117,0.1867,0.0591,0.0503
2.2,vista_e_task22_longformer,crudo,DIRECT,10,0.1271,0.3445,0.1821,0.0503,0.0463
2.2,vista_e_task22_longformer,crudo,JUDGEMENTAL,10,0.1907,0.2497,0.1277,0.1012,0.0441
2.2,vista_e_task22_longformer,crudo,MACRO_OvR,10,0.1521,,,,
2.2,Gemini_zeroshot,crudo,NO,10,0.2176,0.5765,0.2368,0.2293,0.107
2.2,Gemini_zeroshot,crudo,DIRECT,10,0.207,0.62,0.2319,0.2844,0.1437
2.2,Gemini_zeroshot,crudo,JUDGEMENTAL,10,0.0886,0.75,0.1251,0.1812,0.0854
2.2,Gemini_zeroshot,crudo,MACRO_OvR,10,0.1711,,,,
2.3,vista_e_task23_best,crudo,IDEOLOGICAL-INEQUALITY,10,0.0828,0.2039,0.126,0.1276,0.0446
2.3,vista_e_task23_best,crudo,STEREOTYPING-DOMINANCE,10,0.0669,0.1885,0.1694,0.1026,0.0395
2.3,vista_e_task23_best,crudo,OBJECTIFICATION,10,0.1004,0.2062,0.1364,0.0935,0.0368
2.3,vista_e_task23_best,crudo,SEXUAL-VIOLENCE,10,0.1184,0.1874,0.0785,0.1521,0.0454
2.3,vista_e_task23_best,crudo,MISOGYNY-NON-SEXUAL-VIOLENCE,10,0.1032,0.4459,0.0925,0.1226,0.0321
2.3,vista_e_task23_best,crudo,MACRO_OvR,10,0.0944,,,,
2.3,vista_e_task23_max512,crudo,IDEOLOGICAL-INEQUALITY,10,0.0554,0.1012,0.1208,0.137,0.0516
2.3,vista_e_task23_max512,crudo,STEREOTYPING-DOMINANCE,10,0.0466,0.1335,0.1605,0.1425,0.0532
2.3,vista_e_task23_max512,crudo,OBJECTIFICATION,10,0.0607,0.1168,0.1243,0.1286,0.0516
2.3,vista_e_task23_max512,crudo,SEXUAL-VIOLENCE,10,0.0758,0.248,0.0706,0.1187,0.0446
2.3,vista_e_task23_max512,crudo,MISOGYNY-NON-SEXUAL-VIOLENCE,10,0.0977,0.2051,0.0936,0.1287,0.0392
2.3,vista_e_task23_max512,crudo,MACRO_OvR,10,0.0672,,,,
2.3,vista_e_task23_max512_v2,crudo,IDEOLOGICAL-INEQUALITY,10,0.0749,0.1385,0.1255,0.1653,0.0629
2.3,vista_e_task23_max512_v2,crudo,STEREOTYPING-DOMINANCE,10,0.0431,0.1833,0.1625,0.1226,0.049
2.3,vista_e_task23_max512_v2,crudo,OBJECTIFICATION,10,0.0673,0.2102,0.128,0.1038,0.044
2.3,vista_e_task23_max512_v2,crudo,SEXUAL-VIOLENCE,10,0.0854,0.2786,0.0761,0.134,0.0586
2.3,vista_e_task23_max512_v2,crudo,MISOGYNY-NON-SEXUAL-VIOLENCE,10,0.1216,0.2972,0.0996,0.1531,0.0549
2.3,vista_e_task23_max512_v2,crudo,MACRO_OvR,10,0.0784,,,,
2.3,vista_e_task23_max512_v2,platt,IDEOLOGICAL-INEQUALITY,10,0.0217,0.1135,0.1187,0.0928,0.0471
2.3,vista_e_task23_max512_v2,platt,STEREOTYPING-DOMINANCE,10,0.0406,0.0776,0.1611,0.1343,0.0583
2.3,vista_e_task23_max512_v2,platt,OBJECTIFICATION,10,0.046,0.1831,0.1248,0.1098,0.0574
2.3,vista_e_task23_max512_v2,platt,SEXUAL-VIOLENCE,10,0.023,0.2068,0.0668,0.0633,0.034
2.3,vista_e_task23_max512_v2,platt,MISOGYNY-NON-SEXUAL-VIOLENCE,10,0.0351,0.2715,0.082,0.0428,0.0234
2.3,vista_e_task23_max512_v2,platt,MACRO_OvR,10,0.0333,,,,
2.3,vista_e_task23_max512_R,crudo,IDEOLOGICAL-INEQUALITY,10,0.081,0.1897,0.1265,0.1659,0.0625
2.3,vista_e_task23_max512_R,crudo,STEREOTYPING-DOMINANCE,10,0.048,0.1924,0.1635,0.1269,0.0485
2.3,vista_e_task23_max512_R,crudo,OBJECTIFICATION,10,0.0796,0.1685,0.1278,0.1111,0.044
2.3,vista_e_task23_max512_R,crudo,SEXUAL-VIOLENCE,10,0.0888,0.3651,0.0775,0.139,0.0591
2.3,vista_e_task23_max512_R,crudo,MISOGYNY-NON-SEXUAL-VIOLENCE,10,0.1369,0.2904,0.1055,0.1684,0.0601
2.3,vista_e_task23_max512_R,crudo,MACRO_OvR,10,0.0869,,,,
2.3,vista_e_task23_longformer,crudo,IDEOLOGICAL-INEQUALITY,10,0.037,0.1154,0.1216,0.1145,0.0455
2.3,vista_e_task23_longformer,crudo,STEREOTYPING-DOMINANCE,10,0.057,0.1731,0.1639,0.0898,0.0398
2.3,vista_e_task23_longformer,crudo,OBJECTIFICATION,10,0.0721,0.2484,0.129,0.0898,0.0422
2.3,vista_e_task23_longformer,crudo,SEXUAL-VIOLENCE,10,0.0753,0.2367,0.0711,0.1082,0.0391
2.3,vista_e_task23_longformer,crudo,MISOGYNY-NON-SEXUAL-VIOLENCE,10,0.0522,0.2344,0.0836,0.0737,0.0239
2.3,vista_e_task23_longformer,crudo,MACRO_OvR,10,0.0587,,,,
2.3,vista_e_task23_longformer_v2,crudo,IDEOLOGICAL-INEQUALITY,10,0.0285,0.0879,0.1204,0.1048,0.0456
2.3,vista_e_task23_longformer_v2,crudo,STEREOTYPING-DOMINANCE,10,0.0377,0.1848,0.1658,0.0981,0.0421
2.3,vista_e_task23_longformer_v2,crudo,OBJECTIFICATION,10,0.0638,0.1654,0.1301,0.0981,0.0451
2.3,vista_e_task23_longformer_v2,crudo,SEXUAL-VIOLENCE,10,0.0814,0.188,0.0733,0.1341,0.0541
2.3,vista_e_task23_longformer_v2,crudo,MISOGYNY-NON-SEXUAL-VIOLENCE,10,0.0772,0.2604,0.087,0.1087,0.0418
2.3,vista_e_task23_longformer_v2,crudo,MACRO_OvR,10,0.0577,,,,
2.3,vista_e_task23_longformer_R,crudo,IDEOLOGICAL-INEQUALITY,10,0.0592,0.2005,0.1222,0.139,0.0575
2.3,vista_e_task23_longformer_R,crudo,STEREOTYPING-DOMINANCE,10,0.0317,0.177,0.1633,0.1085,0.0445
2.3,vista_e_task23_longformer_R,crudo,OBJECTIFICATION,10,0.0788,0.2103,0.1324,0.0805,0.041
2.3,vista_e_task23_longformer_R,crudo,SEXUAL-VIOLENCE,10,0.091,0.2189,0.0774,0.1437,0.057
2.3,vista_e_task23_longformer_R,crudo,MISOGYNY-NON-SEXUAL-VIOLENCE,10,0.0867,0.2448,0.0879,0.1182,0.0426
2.3,vista_e_task23_longformer_R,crudo,MACRO_OvR,10,0.0695,,,,
2.3,Gemini_zeroshot,crudo,IDEOLOGICAL-INEQUALITY,10,0.0649,0.6,0.1258,0.1363,0.0764
2.3,Gemini_zeroshot,crudo,STEREOTYPING-DOMINANCE,10,0.1293,0.3944,0.1941,0.2288,0.1219
2.3,Gemini_zeroshot,crudo,OBJECTIFICATION,10,0.096,0.65,0.137,0.1332,0.0703
2.3,Gemini_zeroshot,crudo,SEXUAL-VIOLENCE,10,0.0863,0.3,0.1033,0.0675,0.0384
2.3,Gemini_zeroshot,crudo,MISOGYNY-NON-SEXUAL-VIOLENCE,10,0.1573,0.6833,0.1237,0.1966,0.0985
2.3,Gemini_zeroshot,crudo,MACRO_OvR,10,0.1067,,,,
